Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
Fluoxetine_35.gjf             ,Fluoxetine_48.gjf             ,97.54444                      ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_49.gjf             ,97.58302                      ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_55.gjf             ,97.64601                      ,Yes                           
Fluoxetine_41.gjf             ,Fluoxetine_42.gjf             ,99.45679                      ,No                            
Fluoxetine_41.gjf             ,Fluoxetine_43.gjf             ,97.56199                      ,Yes                           
Fluoxetine_41.gjf             ,Fluoxetine_44.gjf             ,97.55965                      ,Yes                           
Fluoxetine_41.gjf             ,Fluoxetine_45.gjf             ,97.55142                      ,Yes                           
Fluoxetine_41.gjf             ,Fluoxetine_46.gjf             ,97.1495                       ,Yes                           
Fluoxetine_41.gjf             ,Fluoxetine_47.gjf             ,97.53429                      ,Yes                           
Fluoxetine_41.gjf             ,Fluoxetine_48.gjf             ,97.5261                       ,Yes                           
Fluoxetine_41.gjf             ,Fluoxetine_49.gjf             ,97.50072                      ,Yes                           
Fluoxetine_41.gjf             ,Fluoxetine_55.gjf             ,97.78084                      ,Yes                           
Fluoxetine_43.gjf             ,Fluoxetine_44.gjf             ,99.98939                      ,No                            
Fluoxetine_43.gjf             ,Fluoxetine_45.gjf             ,99.65382                      ,No                            
Fluoxetine_43.gjf             ,Fluoxetine_46.gjf             ,96.95782                      ,Yes                           
Fluoxetine_43.gjf             ,Fluoxetine_47.gjf             ,99.61382                      ,No                            
Fluoxetine_43.gjf             ,Fluoxetine_48.gjf             ,99.48433                      ,No                            
Fluoxetine_43.gjf             ,Fluoxetine_49.gjf             ,99.59554                      ,No                            
Fluoxetine_43.gjf             ,Fluoxetine_55.gjf             ,98.9048                       ,Yes                           
Fluoxetine_46.gjf             ,Fluoxetine_55.gjf             ,96.94611                      ,Yes                           
